tick,population,mean_s,mean_cv,resource
50,15,0.0000,1.0000,95.20
100,15,0.0000,1.0000,91.66
150,15,0.0160,1.0000,88.80
200,15,0.0655,1.0000,86.47
250,15,0.0896,1.0000,84.53
300,15,0.1109,1.0000,82.93
350,15,0.1296,1.0000,81.61
400,15,0.1605,1.0000,80.52
450,15,0.1732,1.0000,79.61
500,15,0.1845,1.0000,78.86
550,15,0.1943,1.0000,78.24
600,15,0.2106,1.0000,77.73
650,15,0.2174,1.0000,77.30
700,18,0.1535,1.0000,75.85
750,24,0.0913,1.0000,70.93
800,26,0.0584,1.0000,62.69
850,29,0.0595,1.0000,55.57
900,30,0.0525,1.0000,49.43
950,30,0.0717,1.0000,45.41
1000,30,0.1024,1.0000,42.82
1050,30,0.1211,1.0000,41.13
1100,30,0.1434,1.0000,40.02
1150,30,0.1600,1.0000,39.28
1200,30,0.1794,1.0000,38.78
1250,27,0.2109,1.0000,38.66
1300,21,0.2880,1.0000,41.04
1350,20,0.3156,1.0000,44.69
1400,19,0.3483,1.0000,48.28
1450,19,0.3570,1.0000,50.96
1500,19,0.3668,1.0000,52.94
1550,19,0.3741,1.0000,54.40
1600,19,0.3827,1.0000,55.47
1650,19,0.3873,1.0000,56.26
1700,19,0.3924,1.0000,56.83
1750,19,0.3963,1.0000,57.25
1800,19,0.4008,1.0000,57.55
1850,19,0.4032,1.0000,57.77
1900,22,0.2876,1.0000,57.10
1950,22,0.2533,1.0000,55.87
2000,21,0.2354,1.0000,54.91
2050,25,0.1544,1.0000,52.59
2100,28,0.1602,1.0000,49.17
2150,25,0.1887,1.0000,46.07
2200,16,0.3297,1.0000,48.19
2250,16,0.4047,1.0000,52.95
2300,16,0.4767,1.0000,56.55
2350,16,0.5480,1.0000,59.23
2400,16,0.6246,1.0000,61.20
2450,16,0.6776,1.0000,62.63
2500,16,0.7227,1.0000,63.65
2550,16,0.7614,1.0000,64.36
2600,16,0.8019,1.0000,64.85
2650,16,0.8299,1.0000,65.17
2700,16,0.8536,1.0000,65.37
2750,16,0.8741,1.0000,65.49
2800,16,0.8954,1.0000,65.54
2850,17,0.8182,1.0000,65.38
2900,18,0.7430,1.0000,63.95
2950,19,0.6746,1.0000,62.06
3000,21,0.5596,1.0000,59.79
3050,26,0.3382,1.0000,56.11
3100,28,0.2805,1.0000,50.71
3150,30,0.2531,1.0000,46.47
3200,30,0.3204,1.0000,43.10
3250,31,0.3562,1.0000,40.82
3300,31,0.4307,1.0000,38.86
3350,32,0.4621,1.0000,37.31
3400,32,0.5273,1.0000,36.08
3450,32,0.5865,1.0000,35.24
3500,32,0.6406,1.0000,34.65
3550,31,0.7086,1.0000,34.49
3600,31,0.7527,1.0000,34.46
3650,31,0.7906,1.0000,34.38
3700,31,0.8212,1.0000,34.28
3750,31,0.8462,1.0000,34.18
3800,31,0.8695,1.0000,34.08
3850,31,0.8895,1.0000,33.99
3900,31,0.9056,1.0000,33.91
3950,31,0.9189,1.0000,33.84
4000,31,0.9311,1.0000,33.78
4050,31,0.9417,1.0000,33.73
4100,31,0.9502,1.0000,33.68
4150,31,0.9572,1.0000,33.64
4200,32,0.9121,1.0000,33.45
4250,32,0.9163,1.0000,33.13
4300,32,0.9206,1.0000,32.94
4350,32,0.9304,1.0000,32.81
4400,32,0.9395,1.0000,32.72
4450,34,0.8508,1.0000,32.60
4500,34,0.8566,1.0000,31.89
4550,35,0.8181,1.0000,31.23
4600,38,0.7061,1.0000,30.25
4650,40,0.6525,1.0000,29.20
4700,42,0.6052,0.1975,27.78
4750,44,0.5715,0.1975,26.33
4800,43,0.5823,0.1975,25.52
4850,46,0.4874,0.2107,24.96
4900,46,0.4692,0.2213,24.65
4950,43,0.4980,0.2213,24.80
5000,41,0.5519,0.2213,25.54
5050,41,0.5554,0.2213,25.74
5100,38,0.5977,0.2213,26.40
5150,37,0.6157,0.2213,27.35
5200,37,0.6328,0.2213,28.02
5250,38,0.6299,0.2301,28.34
5300,39,0.6045,0.2301,28.07
5350,38,0.6497,0.2301,28.13
5400,37,0.6966,0.2301,28.48
5450,36,0.7476,0.2301,28.70
5500,36,0.7485,0.2301,29.20
5550,35,0.7845,0.2301,29.40
5600,34,0.8211,0.2301,29.96
5650,33,0.8570,0.2301,30.67
5700,33,0.8775,0.2301,31.16
5750,33,0.8935,0.2301,31.42
5800,33,0.9110,0.2301,31.55
5850,33,0.9245,0.2301,31.60
5900,33,0.9354,0.2301,31.61
5950,33,0.9438,0.2301,31.60
6000,33,0.9530,0.2301,31.58
6050,33,0.9602,0.2301,31.56
6100,33,0.9659,0.2301,31.54
6150,33,0.9703,0.2301,31.52
6200,33,0.9752,0.2301,31.50
6250,33,0.9790,0.2301,31.49
6300,34,0.9315,0.2301,31.18
6350,34,0.9338,0.2301,30.97
