seed,final_phase,phase_B_tick,phase_C_tick,phase_D_tick,clock_before_map,final_pop,final_mean_s,final_mean_cv,final_max_gen,total_divisions
0,C,9650,9700,-1,True,39,0.7349,0.0423,3,610
1,D,5050,5100,6600,True,39,0.7586,0.0408,5,602
2,D,5300,5350,9000,True,40,0.7119,0.0411,4,603
3,D,3900,4200,5050,True,36,0.9273,0.0437,5,594
4,D,5000,5050,6450,True,41,0.6745,0.0410,6,593
5,D,3750,4400,5250,True,40,0.7091,0.0442,7,601
6,C,8800,8850,-1,True,37,0.8874,0.0430,4,597
7,D,4850,4900,12600,True,43,0.6429,0.0440,5,597
8,D,3750,3900,5150,True,35,0.9296,0.0426,4,595
9,D,4300,4350,5700,True,48,0.5204,0.0392,6,601
10,D,3750,3800,5250,True,41,0.6493,0.0399,5,605
11,D,3650,3700,5100,True,43,0.5943,0.0430,6,594
12,C,5200,5250,-1,True,43,0.6757,0.0448,3,610
13,C,4950,5000,-1,True,38,0.8098,0.0462,3,607
14,D,4200,4250,5550,True,41,0.7179,0.0407,6,600
15,B,3900,-1,-1,True,17,0.0000,0.0858,10,539
16,D,3950,4000,5750,True,37,0.8112,0.0454,4,603
17,D,3600,3650,5150,True,37,0.8054,0.0416,4,596
18,D,4050,4100,5400,True,39,0.7983,0.0398,4,598
19,C,4850,4900,-1,True,41,0.7074,0.0409,4,594
20,D,3800,3850,5700,True,37,0.8020,0.0406,5,600
21,D,3800,4200,5000,True,38,0.8627,0.0419,5,596
22,D,4100,4150,5850,True,39,0.7096,0.0429,4,596
23,D,7300,7350,14550,True,36,0.8954,0.0438,4,602
24,D,4400,4450,5700,True,42,0.7127,0.0420,6,599
25,D,4950,5000,7250,True,37,0.8606,0.0422,4,592
26,D,3650,4050,4900,True,39,0.7262,0.0411,5,595
27,D,3750,3800,5400,True,39,0.7506,0.0428,4,611
28,C,5650,5700,-1,True,36,0.8229,0.0424,3,600
29,D,4750,4800,6650,True,39,0.7987,0.0422,4,595
30,D,4300,4350,5650,True,40,0.7158,0.0406,5,594
31,D,4550,4600,6000,True,42,0.6824,0.0438,4,596
32,D,4850,4900,6300,True,41,0.7106,0.0461,4,594
33,D,3600,3650,4900,True,39,0.7462,0.0439,5,591
34,D,5000,5050,8900,True,40,0.7666,0.0446,5,591
35,D,4800,4850,19000,True,35,0.9415,0.0438,4,594
36,C,4750,4800,-1,True,41,0.7587,0.0420,3,595
37,C,4900,4950,-1,True,36,0.9145,0.0409,3,598
38,D,3850,3900,5000,True,41,0.7016,0.0431,5,598
39,B,3450,-1,-1,True,0,0.0000,1.0000,0,381
40,D,4350,4400,5750,True,38,0.7893,0.0427,4,602
