seed,final_phase,phase_B_tick,phase_C_tick,phase_D_tick,clock_before_map,final_pop,final_mean_s,final_mean_cv,final_max_gen,total_divisions
0,D,4900,4950,7600,True,46,0.9498,0.0436,4,620
1,C,11100,11150,-1,True,45,0.9132,0.0435,3,632
2,D,10950,11000,13250,True,44,0.9812,0.0455,4,629
3,D,3600,3650,5150,True,47,0.9179,0.0466,5,619
4,D,4950,5000,7550,True,49,0.8760,0.0476,4,622
5,D,3650,4300,5250,True,45,0.9597,0.0627,6,612
6,D,4950,5000,6250,True,50,0.8391,0.0446,5,631
7,D,4800,4850,7150,True,53,0.7340,0.0444,4,627
8,D,3550,3600,4950,True,47,0.9446,0.0428,5,624
9,D,4200,4250,6450,True,49,0.8894,0.0481,5,639
10,D,3900,3950,5200,True,46,0.9547,0.0435,5,631
11,D,3750,3800,5050,True,50,0.8571,0.0480,5,622
12,C,11050,11100,-1,True,44,0.9966,0.0435,3,622
13,D,4650,4700,6900,True,47,0.9064,0.0494,4,622
14,D,4250,4300,6500,True,47,0.9227,0.0474,5,631
15,B,3900,-1,-1,True,17,0.0000,0.0858,10,539
16,D,3900,3950,5550,True,46,0.9726,0.0443,5,630
17,D,3850,3900,5500,True,44,0.9968,0.0430,4,627
18,D,3750,3800,5800,True,46,0.9495,0.0443,4,630
19,D,4700,4750,10800,True,47,0.8857,0.0427,4,621
20,D,3650,3700,5450,True,45,0.9873,0.0445,5,624
21,D,3850,3900,5150,True,53,0.7534,0.0497,6,624
22,D,4400,4450,6250,True,51,0.8289,0.0458,4,635
23,D,5200,5250,7200,True,47,0.9326,0.0430,5,623
24,D,4750,4800,6250,True,51,0.8376,0.0467,5,631
25,D,11950,12000,12600,True,47,0.9246,0.0462,4,623
26,D,3600,3700,4750,True,45,0.9538,0.0459,6,626
27,D,3900,3950,5050,True,47,0.8894,0.0462,6,629
28,C,11000,11050,-1,True,47,0.9255,0.0409,3,627
29,D,4600,4650,7150,True,51,0.8487,0.0455,4,624
30,D,4150,4200,6350,True,50,0.8375,0.0443,4,633
31,D,4450,4500,12050,True,48,0.8662,0.0517,5,628
32,D,5050,5100,7450,True,47,0.9358,0.0464,4,621
33,D,3700,3750,4600,True,47,0.8966,0.0498,6,622
34,D,10800,10850,12300,True,47,0.9303,0.0425,5,620
