seed,final_phase,phase_B_tick,phase_C_tick,phase_D_tick,clock_before_map,final_pop,final_mean_s,final_mean_cv,final_max_gen,total_divisions
0,C,5300,5350,-1,True,42,0.6907,0.0415,3,610
1,C,5200,5250,-1,True,41,0.7175,0.0419,3,602
2,C,9600,9650,-1,True,38,0.7707,0.0429,3,608
3,D,3900,4200,5050,True,36,0.9273,0.0437,5,594
4,D,5050,5100,6450,True,37,0.9013,0.0407,6,593
5,D,3550,3600,4900,True,40,0.7157,0.0423,5,589
6,D,4850,4900,6500,True,38,0.8320,0.0436,4,592
7,D,4850,4900,12600,True,43,0.6738,0.0450,5,597
8,D,3750,3900,5150,True,35,0.9296,0.0426,4,595
9,D,4350,4400,5800,True,38,0.7242,0.0440,4,597
10,D,4200,4250,5750,True,38,0.7730,0.0431,4,608
11,D,3650,3700,5100,True,38,0.8289,0.0407,5,590
12,C,5300,5350,-1,True,37,0.8363,0.0417,3,600
13,C,4950,5000,-1,True,41,0.6795,0.0448,3,593
14,D,4350,4400,5950,True,40,0.7122,0.0433,4,600
15,B,3900,-1,-1,True,17,0.0000,0.0858,10,539
16,D,4050,4100,5700,True,38,0.7571,0.0438,4,606
17,D,3600,3650,5150,True,36,0.8473,0.0444,4,598
18,D,4050,4100,5400,True,39,0.7983,0.0398,4,598
19,C,4800,4850,-1,True,41,0.7169,0.0439,4,596
20,D,3900,3950,5400,True,39,0.7250,0.0453,4,601
21,D,3800,4200,5000,True,38,0.8627,0.0419,5,596
22,D,4100,4150,5850,True,37,0.7731,0.0460,4,598
23,D,5450,5500,15200,True,38,0.8217,0.0419,5,592
24,D,3900,3950,5700,True,40,0.6692,0.0432,5,606
25,C,4800,4850,-1,True,39,0.6551,0.0446,3,603
26,D,3650,4050,4900,True,39,0.7262,0.0411,5,595
27,D,3750,3800,5650,True,37,0.8381,0.0404,5,598
28,C,5650,5700,-1,True,35,0.8747,0.0444,3,598
29,D,4650,4700,6350,True,43,0.6457,0.0411,4,593
30,D,4300,4350,5550,True,41,0.6538,0.0398,5,597
31,D,4550,4600,6100,True,37,0.7515,0.0416,5,596
32,D,4550,4600,6050,True,37,0.9083,0.0426,7,591
33,D,3600,3650,4900,True,38,0.7823,0.0413,5,590
34,C,5100,5150,-1,True,37,0.8518,0.0414,3,593
35,D,4800,4850,19000,True,35,0.9415,0.0438,4,594
36,C,4750,4800,-1,True,43,0.6417,0.0422,4,597
37,D,5100,5150,6400,True,37,0.8598,0.0417,6,591
38,D,3750,4100,5250,True,36,0.9180,0.0418,5,599
39,B,3450,-1,-1,True,0,0.0000,1.0000,0,381
40,C,4900,4950,-1,True,37,0.8345,0.0446,4,594
41,D,4300,4350,6300,True,39,0.8338,0.0414,4,593
42,D,3700,3950,5100,True,39,0.8017,0.0461,5,594
43,D,4050,4100,5650,True,38,0.8635,0.0413,4,606
44,B,3600,-1,-1,True,23,0.0000,0.2529,9,519
45,D,4350,4400,5550,True,36,0.8140,0.0399,5,595
46,D,3850,3900,5250,True,37,0.7576,0.0391,6,599
47,D,4250,4300,5450,True,39,0.7104,0.0415,7,603
48,D,3950,4150,5700,True,38,0.7509,0.0441,4,603
49,D,3700,3750,5050,True,39,0.7265,0.0432,5,603
50,D,4150,4200,27400,True,42,0.6879,0.0405,4,597
51,D,4350,4400,6000,True,39,0.7607,0.0455,4,599
52,D,4350,4400,5600,True,40,0.6934,0.0418,5,601
53,D,3950,4000,5600,True,39,0.8659,0.0414,5,602
54,D,3800,3850,5300,True,42,0.6733,0.0427,5,605
55,D,5400,5450,6700,True,35,0.8974,0.0438,6,596
56,C,4750,4800,-1,True,40,0.7415,0.0426,3,595
57,D,4700,4750,6550,True,38,0.8404,0.0416,4,592
58,D,3750,3800,5600,True,39,0.7202,0.0468,5,605
59,D,5350,5400,6350,True,36,0.8776,0.0408,6,593
60,D,3900,4150,4950,True,39,0.8118,0.0439,6,596
61,D,4850,4900,8300,True,37,0.8461,0.0404,5,590
62,D,3550,3600,5300,True,42,0.5952,0.0471,5,598
63,C,5300,5350,-1,True,36,0.8862,0.0435,3,597
64,D,4250,4300,5500,True,42,0.6152,0.0410,4,598
65,D,4350,4400,5950,True,39,0.6937,0.0415,5,602
66,D,3850,3900,5500,True,37,0.8140,0.0412,4,599
67,D,4050,4100,5950,True,41,0.6256,0.0436,5,604
68,D,3800,4000,5500,True,35,0.9106,0.0431,4,602
69,D,3650,3700,5450,True,36,0.9304,0.0429,5,591
70,D,3850,3900,5650,True,38,0.7786,0.0436,4,599
71,D,4200,4250,6100,True,39,0.6984,0.0417,4,607
72,D,4250,4300,7400,True,43,0.6387,0.0424,6,602
73,D,3800,3850,5300,True,36,0.8505,0.0403,5,598
74,D,4150,4200,5600,True,36,0.8267,0.0429,5,599
75,D,4200,4250,7650,True,34,0.9324,0.0417,4,597
76,C,4900,4950,-1,True,37,0.8713,0.0416,4,596
77,D,4250,4300,5950,True,38,0.7380,0.0467,6,601
78,D,4250,4300,5900,True,39,0.7396,0.0435,4,603
79,D,4150,4200,9600,True,43,0.5979,0.0423,5,602
80,C,4650,4700,-1,True,36,0.9317,0.0419,3,596
81,D,4300,4350,5900,True,46,0.5605,0.0443,5,601
82,D,3850,3900,5000,True,36,0.7680,0.0396,5,598
83,C,4900,4950,-1,True,40,0.7138,0.0453,4,595
84,C,4800,4850,-1,True,37,0.8863,0.0456,3,595
85,C,8200,8250,-1,True,36,0.8846,0.0394,3,607
86,D,4350,4400,5800,True,45,0.6066,0.0463,6,605
87,C,4850,4900,-1,True,34,0.9394,0.0423,3,599
88,D,3850,3950,5200,True,34,0.9778,0.0444,4,590
89,D,4000,4050,5200,True,41,0.6266,0.0424,4,616
90,D,3650,3700,5750,True,34,0.9511,0.0407,4,599
91,D,3650,4050,4800,True,40,0.7443,0.0470,7,594
92,D,4200,4250,5700,True,37,0.7894,0.0431,5,599
93,D,4100,4150,6000,True,37,0.7652,0.0416,4,603
94,D,3600,3650,5350,True,35,0.8814,0.0438,4,596
95,D,4050,4100,6250,True,44,0.6133,0.0468,5,602
96,D,4250,4300,5950,True,42,0.6384,0.0416,4,604
97,D,3650,3700,4950,True,40,0.7384,0.0467,5,593
98,C,4750,4800,-1,True,37,0.9089,0.0443,4,596
99,D,4450,4500,6100,True,41,0.7329,0.0428,5,597
